"","country","field","level","sex","opiEU"
"1560","France Metropolitan","Other","Bachelors degree or equivalent","Female","Neutral"
"1561","Germany","Business, administration and law","A-level or equivalent","Male","Quite positive"
"1562","Germany","Other","A-level or equivalent","Male","Quite positive"
"1563","France Metropolitan","Arts and Humanities","Bachelors degree or equivalent","Female","Very positive"
"1564","Turkey","Other","Bachelors degree or equivalent","Female","Quite positive"
"1565","Turkey","Other","Bachelors degree or equivalent","Female","Neutral"
"1566","Germany","Other","A-level or equivalent","Male","Quite positive"
"1567","France Antilles","Health","Masters degree or equivalent","Female","Quite positive"
"1568","Turkey","Arts and Humanities","A-level or equivalent","Female","Very positive"
"1569","Germany","Arts and Humanities","A-level or equivalent","Female","Quite positive"
"1570","Germany","Social sciences, journalism and information","A-level or equivalent","Female","Quite positive"
"1571","France Metropolitan","Other","Bachelors degree or equivalent","Female","Quite positive"
"1572","France Metropolitan","Other","Bachelors degree or equivalent","Female","Neutral"
"1573","Ireland","Social sciences, journalism and information","Bachelors degree or equivalent","Female","Quite positive"
"1574","France Metropolitan","Arts and Humanities","Bachelors degree or equivalent","Female","Neutral"
"1575","France Metropolitan","Social sciences, journalism and information","Bachelors degree or equivalent","Male","Quite negative"
"1576","Germany","Business, administration and law","A-level or equivalent","Female","Quite positive"
"1577","France Metropolitan","Other","Bachelors degree or equivalent","Female","Neutral"
"1578","Ireland","Social sciences, journalism and information","Bachelors degree or equivalent","Female","Quite positive"
"1579","Tunisia","Engineering, manufacturing and construction","Masters degree or equivalent","Female","Quite positive"
"1580","Germany","Health","A-level or equivalent","Female","Quite positive"
"1581","Turkey","Other","A-level or equivalent","Male","Neutral"
"1582","Germany","Social sciences, journalism and information","A-level or equivalent","Male","Neutral"
"1583","Tunisia","Other","Bachelors degree or equivalent","Male","Quite negative"
"1584","France Metropolitan","Natural sciences, mathematics and statistics","Bachelors degree or equivalent","Male","Neutral"
"1585","France Metropolitan","Social sciences, journalism and information","Bachelors degree or equivalent","Male","Quite positive"
"1586","Germany","Natural sciences, mathematics and statistics","A-level or equivalent","Female","Neutral"
"1587","Ireland","Engineering, manufacturing and construction","A-level or equivalent","Female","Quite positive"
"1588","Tunisia","Arts and Humanities","Masters degree or equivalent","Female","Very positive"
"1589","France Metropolitan","Social sciences, journalism and information","Bachelors degree or equivalent","Male","Quite positive"
"1590","France Metropolitan","Natural sciences, mathematics and statistics","A-level or equivalent","Male","Quite positive"
"1591","Germany","Other","Masters degree or equivalent","Female","Neutral"
"1592","France Metropolitan","Social sciences, journalism and information","Bachelors degree or equivalent","Male","Quite positive"
"1593","Turkey","Other","Bachelors degree or equivalent","Female","Neutral"
"1594","France Antilles","Arts and Humanities","Masters degree or equivalent","Female","Quite negative"
"1595","Germany","Other","A-level or equivalent","Female","Neutral"
"1596","France Metropolitan","Social sciences, journalism and information","Bachelors degree or equivalent","Female","Quite positive"
"1597","France Metropolitan","Other","Masters degree or equivalent","Male","Quite negative"
"1598","Germany","Business, administration and law","Bachelors degree or equivalent","Male","Very positive"
"1599","Ireland","Other","Prefer not to answer","Female","Neutral"
"1600","France Metropolitan","Arts and Humanities","Masters degree or equivalent","Female","Quite positive"
"1601","Germany","Social sciences, journalism and information","Bachelors degree or equivalent","Female","Quite positive"
"1602","France Metropolitan","Social sciences, journalism and information","Bachelors degree or equivalent","Female","Quite positive"
"1603","France Metropolitan","Other","Masters degree or equivalent","Male","Quite positive"
"1604","France Antilles","Health","Bachelors degree or equivalent","Female","Quite positive"
"1605","Germany","Natural sciences, mathematics and statistics","A-level or equivalent","Male","Quite positive"
"1606","France Metropolitan","Arts and Humanities","Masters degree or equivalent","Female","Quite negative"
"1607","Germany","Natural sciences, mathematics and statistics","A-level or equivalent","Male","Quite positive"
"1608","Ireland","Social sciences, journalism and information","Masters degree or equivalent","Male","Quite positive"
"1609","Germany","Arts and Humanities","Bachelors degree or equivalent","Male","Neutral"
"1610","France Metropolitan","Arts and Humanities","Masters degree or equivalent","Female","Neutral"
"1611","Germany","Arts and Humanities","A-level or equivalent","Male","Very positive"
"1612","Tunisia","Other","Masters degree or equivalent","Female","Neutral"
"1613","Germany","Other","A-level or equivalent","Female","Neutral"
"1614","Germany","Other","A-level or equivalent","Other","Quite positive"
"1615","Tunisia","Arts and Humanities","Bachelors degree or equivalent","Female",NA
"1616","Germany","Arts and Humanities","Bachelors degree or equivalent","Male","Quite positive"
"1617","Germany","Business, administration and law","A-level or equivalent","Female","Quite negative"
"1618","Tunisia","Other","Bachelors degree or equivalent","Female","Neutral"
"1619","Germany","Other","Bachelors degree or equivalent","Male","Quite positive"
"1620","Tunisia","Health","A-level or equivalent","Female",NA
"1621","Turkey","Business, administration and law","Prefer not to answer","Male","Neutral"
"1622","France Antilles","Social sciences, journalism and information","Bachelors degree or equivalent","Female","Neutral"
"1623","France Metropolitan","Arts and Humanities","Masters degree or equivalent","Female","Neutral"
"1624","Germany","Business, administration and law","A-level or equivalent","Female","Quite positive"
"1625","Germany","Business, administration and law","A-level or equivalent","Male","Quite negative"
"1626","France Metropolitan","Health","Bachelors degree or equivalent","Female","Quite positive"
"1627","France Metropolitan","Other","Bachelors degree or equivalent","Female","Quite positive"
"1628","France Metropolitan","Other","Bachelors degree or equivalent","Female","Very positive"
"1629","France Metropolitan","Social sciences, journalism and information","Bachelors degree or equivalent","Male",NA
"1630","Turkey","Other","Masters degree or equivalent","Other","Neutral"
"1631","France Metropolitan","Arts and Humanities","Bachelors degree or equivalent","Female","Very positive"
"1632","Germany","Social sciences, journalism and information","A-level or equivalent","Female","Quite negative"
"1633","France Metropolitan","Arts and Humanities","Masters degree or equivalent","Female","Quite positive"
"1634","France Antilles","Business, administration and law","Bachelors degree or equivalent","Female","Quite positive"
"1635","Germany","Other","A-level or equivalent","Female","Neutral"
"1636","France Metropolitan","Arts and Humanities","PhD or equivalent","Female","Neutral"
"1637","France Metropolitan","Arts and Humanities","Bachelors degree or equivalent","Female","Very negative"
"1638","Germany","Social sciences, journalism and information","A-level or equivalent","Male","Quite positive"
"1639","Germany","Natural sciences, mathematics and statistics","A-level or equivalent","Male","Very positive"
"1640","Turkey","Business, administration and law","A-level or equivalent","Female","Quite positive"
"1641","France Metropolitan","Arts and Humanities","Bachelors degree or equivalent","Female","Neutral"
"1642","Tunisia","Arts and Humanities","PhD or equivalent","Female","Neutral"
"1643","Germany","Natural sciences, mathematics and statistics","A-level or equivalent","Female","Very positive"
"1644","Germany","Social sciences, journalism and information","A-level or equivalent","Female","Quite positive"
"1645","France Metropolitan","Arts and Humanities","Masters degree or equivalent","Female",NA
"1646","France Metropolitan","Health","Bachelors degree or equivalent","Male","Quite positive"
"1647","Germany","Other","A-level or equivalent","Female","Neutral"
"1648","France Metropolitan","Engineering, manufacturing and construction","Bachelors degree or equivalent","Male",NA
"1649","Germany","Business, administration and law","A-level or equivalent","Female","Quite positive"
"1650","Turkey","Business, administration and law","A-level or equivalent","Male","Very positive"
"1651","France Antilles","Arts and Humanities","Bachelors degree or equivalent","Female","Neutral"
"1652","France Metropolitan","Natural sciences, mathematics and statistics","Bachelors degree or equivalent","Female","Very positive"
"1653","France Antilles","Arts and Humanities","Masters degree or equivalent","Female","Quite positive"
"1654","France Metropolitan","Arts and Humanities","Bachelors degree or equivalent","Prefer not to answer","Neutral"
"1655","France Metropolitan","Social sciences, journalism and information","Masters degree or equivalent","Female","Very positive"
"1656","Germany","Business, administration and law","A-level or equivalent","Male","Quite positive"
"1657","France Metropolitan","Arts and Humanities","Bachelors degree or equivalent","Female","Quite positive"
"1658","Germany","Business, administration and law","A-level or equivalent","Female","Quite positive"
"1659","Germany","Other","A-level or equivalent","Female","Neutral"
"1660","Turkey","Business, administration and law","Bachelors degree or equivalent","Male","Quite positive"
"1661","France Antilles","Natural sciences, mathematics and statistics","Bachelors degree or equivalent","Female","Quite positive"
"1662","France Metropolitan","Arts and Humanities","Bachelors degree or equivalent","Female","Neutral"
"1663","Tunisia","Engineering, manufacturing and construction","A-level or equivalent","Female","Quite negative"
"1664","France Metropolitan","Engineering, manufacturing and construction","Masters degree or equivalent","Male","Quite positive"
"1665","Tunisia","Social sciences, journalism and information","Masters degree or equivalent","Female",NA
"1666","Turkey","Arts and Humanities","A-level or equivalent","Male","Neutral"
"1667","Tunisia","Social sciences, journalism and information","Masters degree or equivalent","Female","Neutral"
"1668","Germany","Business, administration and law","Bachelors degree or equivalent","Male","Quite negative"
"1669","France Metropolitan","Arts and Humanities","Prefer not to answer","Male",NA
"1670","France Metropolitan","Arts and Humanities","Bachelors degree or equivalent","Male","Quite negative"
"1671","France Antilles","Natural sciences, mathematics and statistics","Bachelors degree or equivalent","Male","Quite positive"
"1672","France Metropolitan","Social sciences, journalism and information","Bachelors degree or equivalent","Female","Quite negative"
"1673","Turkey","Business, administration and law","A-level or equivalent","Female","Quite positive"
"1674","Germany","Arts and Humanities","Bachelors degree or equivalent","Female","Very positive"
"1675","Germany","Arts and Humanities","A-level or equivalent","Female","Neutral"
"1676","Turkey","Other","A-level or equivalent","Male","Quite positive"
"1677","France Antilles","Arts and Humanities","A-level or equivalent","Female","Neutral"
"1678","Turkey","Arts and Humanities","Bachelors degree or equivalent","Female","Quite negative"
"1679","Tunisia","Arts and Humanities","Masters degree or equivalent","Female",NA
"1680","Germany","Business, administration and law","A-level or equivalent","Female","Very positive"
"1681","Germany","Arts and Humanities","Masters degree or equivalent","Female","Quite negative"
"1682","France Metropolitan","Arts and Humanities","Masters degree or equivalent","Female","Neutral"
"1683","Germany","Arts and Humanities","A-level or equivalent","Female","Very positive"
"1684","Tunisia","Social sciences, journalism and information","Masters degree or equivalent","Female","Neutral"
"1685","France Metropolitan","Arts and Humanities","Masters degree or equivalent","Other","Quite negative"
"1686","France Metropolitan","Natural sciences, mathematics and statistics","Bachelors degree or equivalent","Male","Neutral"
"1687","Germany","Business, administration and law","A-level or equivalent","Male","Quite positive"
"1688","France Metropolitan","Natural sciences, mathematics and statistics","Masters degree or equivalent","Prefer not to answer","Quite negative"
"1689","Germany","Other","Masters degree or equivalent","Male","Quite positive"
"1690","Germany","Business, administration and law","A-level or equivalent","Male","Quite positive"
"1691","France Metropolitan","Other","Bachelors degree or equivalent","Male","Quite positive"
"1692","Turkey","Social sciences, journalism and information","PhD or equivalent","Female","Neutral"
"1693","France Metropolitan","Arts and Humanities","Masters degree or equivalent","Female","Quite positive"
"1694","Germany","Arts and Humanities","A-level or equivalent","Female","Quite positive"
"1695","Germany","Business, administration and law","Masters degree or equivalent","Male","Very positive"
"1696","France Antilles","Other","Bachelors degree or equivalent","Female","Quite positive"
"1697","Ireland","Arts and Humanities","A-level or equivalent","Prefer not to answer","Quite positive"
"1698","France Antilles","Other","Masters degree or equivalent","Female","Quite positive"
"1699","Germany","Arts and Humanities","A-level or equivalent","Female","Very positive"
"1700","Ireland","Other","A-level or equivalent","Female","Quite positive"
"1701","Germany","Social sciences, journalism and information","Bachelors degree or equivalent","Female","Neutral"
"1702","France Metropolitan","Health","Bachelors degree or equivalent","Female","Quite positive"
"1703","Germany","Other","Bachelors degree or equivalent","Female","Quite positive"
"1704","France Antilles","Health","A-level or equivalent","Male","Neutral"
"1705","France Metropolitan","Health","Bachelors degree or equivalent","Prefer not to answer","Quite positive"
"1706","France Metropolitan","Natural sciences, mathematics and statistics","Bachelors degree or equivalent","Male","Neutral"
"1707","France Metropolitan","Arts and Humanities","Masters degree or equivalent","Female","Quite positive"
"1708","France Antilles","Other","Masters degree or equivalent","Female","Quite negative"
"1709","Germany","Health","Bachelors degree or equivalent","Female",NA
"1710","France Metropolitan","Social sciences, journalism and information","Masters degree or equivalent","Female","Neutral"
"1711","Turkey","Business, administration and law","Prefer not to answer","Male","Quite positive"
"1712","France Metropolitan","Natural sciences, mathematics and statistics","Bachelors degree or equivalent","Male","Neutral"
"1713","Germany","Prefer not to answer","Bachelors degree or equivalent","Male","Very positive"
"1714","France Metropolitan","Arts and Humanities","Masters degree or equivalent","Male","Neutral"
"1715","France Antilles","Arts and Humanities","Masters degree or equivalent","Female","Quite positive"
"1716","Germany","Social sciences, journalism and information","A-level or equivalent","Female","Quite positive"
"1717","France Metropolitan","Natural sciences, mathematics and statistics","Bachelors degree or equivalent","Male","Very positive"
"1718","Germany","Natural sciences, mathematics and statistics","A-level or equivalent","Male","Quite positive"
"1719","France Antilles","Arts and Humanities","A-level or equivalent","Female","Neutral"
"1720","France Metropolitan","Other","Masters degree or equivalent","Male","Very positive"
"1721","Turkey","Other","A-level or equivalent","Female","Quite positive"
"1722","France Metropolitan","Engineering, manufacturing and construction","PhD or equivalent","Female","Quite positive"
"1723","France Antilles","Arts and Humanities","Masters degree or equivalent","Female","Quite positive"
"1724","France Metropolitan","Natural sciences, mathematics and statistics","Bachelors degree or equivalent","Male","Neutral"
"1725","France Metropolitan","Arts and Humanities","Bachelors degree or equivalent","Female","Neutral"
"1726","France Metropolitan","Health","Bachelors degree or equivalent","Female","Quite positive"
"1727","Turkey","Business, administration and law","A-level or equivalent","Female","Very positive"
"1728","France Antilles","Other","Masters degree or equivalent","Female","Neutral"
"1729","Germany","Business, administration and law","A-level or equivalent","Male","Neutral"
"1730","France Metropolitan","Other","Bachelors degree or equivalent","Male","Quite negative"
"1731","Germany","Business, administration and law","A-level or equivalent","Male","Neutral"
"1732","France Metropolitan","Social sciences, journalism and information","Bachelors degree or equivalent","Female","Quite positive"
"1733","France Metropolitan","Arts and Humanities","Masters degree or equivalent","Male","Very negative"
"1734","France Metropolitan","Natural sciences, mathematics and statistics","Bachelors degree or equivalent","Male","Neutral"
"1735","Germany","Business, administration and law","Masters degree or equivalent","Male","Neutral"
"1736","Ireland","Engineering, manufacturing and construction","Bachelors degree or equivalent","Female","Quite positive"
"1737","France Antilles","Business, administration and law","Masters degree or equivalent","Female","Neutral"
"1738","France Metropolitan","Health","Bachelors degree or equivalent","Female","Quite positive"
"1739","Turkey","Other","A-level or equivalent","Male","Quite positive"
"1740","Germany","Other","A-level or equivalent","Female","Quite positive"
"1741","France Metropolitan","Arts and Humanities","Bachelors degree or equivalent","Female","Neutral"
"1742","Germany","Arts and Humanities","A-level or equivalent","Female","Neutral"
"1743","France Antilles","Business, administration and law","Bachelors degree or equivalent","Female","Quite positive"
"1744","France Metropolitan","Arts and Humanities","Bachelors degree or equivalent","Female","Neutral"
"1745","France Metropolitan","Engineering, manufacturing and construction","Bachelors degree or equivalent","Female","Neutral"
"1746","France Metropolitan","Health","Bachelors degree or equivalent","Female","Quite positive"
"1747","France Metropolitan","Engineering, manufacturing and construction","Masters degree or equivalent","Male","Quite positive"
"1748","Germany","Other","Masters degree or equivalent","Male","Neutral"
"1749","Germany","Other","A-level or equivalent","Female","Very positive"
"1750","France Antilles","Health","A-level or equivalent","Female","Quite positive"
"1751","France Metropolitan","Other","Bachelors degree or equivalent","Male","Neutral"
"1752","Turkey","Other","A-level or equivalent","Female","Neutral"
"1753","France Metropolitan","Social sciences, journalism and information","Bachelors degree or equivalent","Female","Very positive"
"1754","Germany","Business, administration and law","A-level or equivalent","Female","Quite positive"
"1755","Ireland","Arts and Humanities","Bachelors degree or equivalent","Female","Neutral"
"1756","France Metropolitan","Natural sciences, mathematics and statistics","Bachelors degree or equivalent","Male","Very positive"
"1757","France Antilles","Business, administration and law","Bachelors degree or equivalent","Female","Prefer not to answer"
"1758","Turkey","Other","Bachelors degree or equivalent","Female","Quite positive"
"1759","Germany","Natural sciences, mathematics and statistics","Bachelors degree or equivalent","Female","Very positive"
"1760","Tunisia","Social sciences, journalism and information","Bachelors degree or equivalent","Female","Quite positive"
"1761","France Metropolitan","Arts and Humanities","Bachelors degree or equivalent","Female","Quite positive"
"1762","France Metropolitan","Natural sciences, mathematics and statistics","Bachelors degree or equivalent","Female","Quite negative"
"1763","France Antilles","Engineering, manufacturing and construction","Masters degree or equivalent","Male","Neutral"
"1764","Germany","Natural sciences, mathematics and statistics","Bachelors degree or equivalent","Female","Very positive"
"1765","France Metropolitan","Natural sciences, mathematics and statistics","Masters degree or equivalent","Male","Very positive"
"1766","Turkey","Social sciences, journalism and information","Bachelors degree or equivalent","Male","Quite positive"
"1767","Germany","Other","A-level or equivalent","Female","Quite positive"
"1768","Germany","Natural sciences, mathematics and statistics","A-level or equivalent","Male","Quite positive"
"1769","France Metropolitan","Arts and Humanities","Bachelors degree or equivalent","Female","Very positive"
"1770","Turkey","Business, administration and law","A-level or equivalent","Male","Quite negative"
"1771","Germany","Business, administration and law","Prefer not to answer","Female","Quite positive"
"1772","France Metropolitan","Health","Bachelors degree or equivalent","Male","Quite positive"
"1773","Ireland","Arts and Humanities","Bachelors degree or equivalent","Female","Quite positive"
"1774","Germany","Arts and Humanities","A-level or equivalent","Male","Quite positive"
"1775","Germany","Other","A-level or equivalent","Female","Very positive"
"1776","Germany","Other","A-level or equivalent","Male",NA
"1777","France Metropolitan","Arts and Humanities","Bachelors degree or equivalent","Male","Neutral"
"1778","Germany","Arts and Humanities","Bachelors degree or equivalent","Female","Quite positive"
"1779","France Antilles","Other","Masters degree or equivalent","Female","Quite positive"
"1780","France Metropolitan","Social sciences, journalism and information","Masters degree or equivalent","Female","Quite positive"
"1781","France Metropolitan","Engineering, manufacturing and construction","Masters degree or equivalent","Female","Neutral"
"1782","France Metropolitan","Social sciences, journalism and information","Masters degree or equivalent","Female","Neutral"
"1783","France Metropolitan","Natural sciences, mathematics and statistics","Bachelors degree or equivalent","Male","Very negative"
"1784","France Metropolitan","Arts and Humanities","Masters degree or equivalent","Female","Quite positive"
"1785","France Antilles","Health","A-level or equivalent","Male","Quite positive"
"1786","Germany","Social sciences, journalism and information","A-level or equivalent","Female","Quite positive"
"1787","Germany","Business, administration and law","A-level or equivalent","Male","Quite positive"
"1788","France Antilles","Natural sciences, mathematics and statistics","Bachelors degree or equivalent","Male","Neutral"
"1789","France Antilles","Health","A-level or equivalent","Female","Very positive"
"1790","Germany","Arts and Humanities","A-level or equivalent","Male","Quite positive"
"1791","Germany","Business, administration and law","A-level or equivalent","Male","Quite positive"
"1792","France Metropolitan","Social sciences, journalism and information","Bachelors degree or equivalent","Male","Quite negative"
"1793","Germany","Arts and Humanities","Bachelors degree or equivalent","Female","Quite positive"
"1794","France Metropolitan","Engineering, manufacturing and construction","Bachelors degree or equivalent","Male","Quite positive"
"1795","Germany","Natural sciences, mathematics and statistics","Bachelors degree or equivalent","Female","Quite positive"
"1796","France Metropolitan","Social sciences, journalism and information","Bachelors degree or equivalent","Male",NA
"1797","Ireland","Engineering, manufacturing and construction","A-level or equivalent","Female",NA
"1798","France Metropolitan","Health","Bachelors degree or equivalent","Male","Quite positive"
"1799","Turkey","Other","Bachelors degree or equivalent","Male","Very negative"
"1800","France Metropolitan","Social sciences, journalism and information","Masters degree or equivalent","Male","Neutral"
"1801","France Metropolitan","Social sciences, journalism and information","Bachelors degree or equivalent","Female","Quite positive"
"1802","France Metropolitan","Other","Bachelors degree or equivalent","Female","Quite positive"
"1803","Germany","Arts and Humanities","A-level or equivalent","Prefer not to answer","Quite positive"
"1804","France Metropolitan","Natural sciences, mathematics and statistics","Bachelors degree or equivalent","Female","Neutral"
"1805","France Antilles","Other","Masters degree or equivalent","Male","Quite positive"
"1806","Germany","Health","A-level or equivalent","Female","Quite positive"
"1807","France Metropolitan","Other","Bachelors degree or equivalent","Female","Quite positive"
"1808","France Metropolitan","Prefer not to answer","Bachelors degree or equivalent","Male","Quite positive"
"1809","France Metropolitan","Arts and Humanities","Bachelors degree or equivalent","Female",NA
"1810","France Metropolitan","Arts and Humanities","Bachelors degree or equivalent","Female","Neutral"
"1811","France Metropolitan","Natural sciences, mathematics and statistics","Bachelors degree or equivalent","Male",NA
"1812","France Metropolitan","Other","Bachelors degree or equivalent","Female","Quite positive"
"1813","Germany","Social sciences, journalism and information","A-level or equivalent","Female","Quite positive"
"1814","Turkey","Business, administration and law","Prefer not to answer","Male","Neutral"
"1815","Ireland","Social sciences, journalism and information","Bachelors degree or equivalent","Female","Quite positive"
"1816","France Antilles","Natural sciences, mathematics and statistics","Bachelors degree or equivalent","Female","Neutral"
"1817","Germany","Natural sciences, mathematics and statistics","A-level or equivalent","Female","Very positive"
"1818","France Metropolitan","Arts and Humanities","Bachelors degree or equivalent","Female","Neutral"
"1819","France Metropolitan","Natural sciences, mathematics and statistics","Bachelors degree or equivalent","Female","Quite positive"
"1820","Germany","Business, administration and law","Masters degree or equivalent","Male","Very positive"
"1821","Germany","Arts and Humanities","A-level or equivalent","Female","Neutral"
"1822","France Metropolitan","Natural sciences, mathematics and statistics","Bachelors degree or equivalent","Female","Quite negative"
"1823","France Antilles","Business, administration and law","Bachelors degree or equivalent","Male","Quite positive"
"1824","France Metropolitan","Natural sciences, mathematics and statistics","Masters degree or equivalent","Male","Quite negative"
"1825","Ireland","Health","A-level or equivalent","Female","Quite positive"
"1826","Germany","Natural sciences, mathematics and statistics","A-level or equivalent","Female","Quite positive"
"1827","Germany","Natural sciences, mathematics and statistics","A-level or equivalent","Female","Quite positive"
"1828","France Metropolitan","Engineering, manufacturing and construction","Bachelors degree or equivalent","Male",NA
"1829","Germany","Other","A-level or equivalent","Female",NA
"1830","Tunisia","Arts and Humanities","Bachelors degree or equivalent","Male","Quite positive"
"1831","France Antilles","Other","Masters degree or equivalent","Female","Neutral"
"1832","Turkey","Business, administration and law","A-level or equivalent","Male","Very positive"
"1833","France Antilles","Business, administration and law","Bachelors degree or equivalent","Female","Neutral"
"1834","Tunisia","Other","Masters degree or equivalent","Female","Quite positive"
"1835","France Metropolitan","Social sciences, journalism and information","Bachelors degree or equivalent","Male","Quite positive"
"1836","France Metropolitan","Business, administration and law","Bachelors degree or equivalent","Male","Quite positive"
"1837","France Metropolitan","Arts and Humanities","Bachelors degree or equivalent","Female","Quite positive"
"1838","Turkey","Business, administration and law","Bachelors degree or equivalent","Female","Neutral"
"1839","Turkey","Other","Bachelors degree or equivalent","Male","Neutral"
"1840","Germany","Other","A-level or equivalent","Female","Quite positive"
"1841","France Metropolitan","Arts and Humanities","Masters degree or equivalent","Male","Neutral"
"1842","France Metropolitan","Arts and Humanities","Masters degree or equivalent","Female","Very positive"
"1843","France Metropolitan","Social sciences, journalism and information","Bachelors degree or equivalent","Female","Neutral"
"1844","Germany","Natural sciences, mathematics and statistics","Bachelors degree or equivalent","Female","Quite positive"
"1845","France Metropolitan","Other","Masters degree or equivalent","Female","Neutral"
"1846","Germany","Health","Bachelors degree or equivalent","Male","Quite positive"
"1847","France Metropolitan","Natural sciences, mathematics and statistics","Bachelors degree or equivalent","Male","Neutral"
"1848","Germany","Social sciences, journalism and information","A-level or equivalent","Female",NA
"1849","France Antilles","Natural sciences, mathematics and statistics","Bachelors degree or equivalent","Female","Neutral"
"1850","Germany","Arts and Humanities","A-level or equivalent","Male","Quite positive"
"1851","France Metropolitan","Natural sciences, mathematics and statistics","Bachelors degree or equivalent","Male","Neutral"
"1852","France Metropolitan","Natural sciences, mathematics and statistics","Bachelors degree or equivalent","Male",NA
"1853","France Metropolitan","Social sciences, journalism and information","Bachelors degree or equivalent","Male","Neutral"
"1854","France Metropolitan","Social sciences, journalism and information","Masters degree or equivalent","Female","Quite positive"
"1855","Turkey","Other","Prefer not to answer","Female","Neutral"
"1856","France Antilles","Social sciences, journalism and information","Masters degree or equivalent","Male","Quite positive"
"1857","France Metropolitan","Arts and Humanities","Masters degree or equivalent","Female","Quite positive"
"1858","Turkey","Other","Bachelors degree or equivalent","Male","Quite negative"
"1859","France Metropolitan","Health","Bachelors degree or equivalent","Male","Quite positive"
"1860","Ireland","Social sciences, journalism and information","Bachelors degree or equivalent","Male","Quite positive"
"1861","France Metropolitan","Arts and Humanities","Bachelors degree or equivalent","Other","Quite positive"
"1862","France Metropolitan","Social sciences, journalism and information","Bachelors degree or equivalent","Female","Neutral"
"1863","Ireland","Arts and Humanities","Bachelors degree or equivalent","Male","Very positive"
"1864","Germany","Business, administration and law","A-level or equivalent","Female","Quite positive"
"1865","Tunisia","Social sciences, journalism and information","PhD or equivalent","Female",NA
"1866","France Metropolitan","Social sciences, journalism and information","Masters degree or equivalent","Male","Quite negative"
"1867","Germany","Social sciences, journalism and information","A-level or equivalent","Male","Very positive"
"1868","France Metropolitan","Other","Bachelors degree or equivalent","Female","Neutral"
"1869","Germany","Natural sciences, mathematics and statistics","Bachelors degree or equivalent","Female","Very positive"
"1870","Turkey","Business, administration and law","A-level or equivalent","Male","Quite negative"
"1871","Ireland","Other","Bachelors degree or equivalent","Male","Quite positive"
"1872","France Antilles","Other","Bachelors degree or equivalent","Female","Quite negative"
"1873","France Metropolitan","Natural sciences, mathematics and statistics","Bachelors degree or equivalent","Male","Quite positive"
"1874","France Metropolitan","Arts and Humanities","Bachelors degree or equivalent","Female","Quite positive"
"1875","France Metropolitan","Social sciences, journalism and information","Bachelors degree or equivalent","Prefer not to answer","Very positive"
"1876","France Metropolitan","Social sciences, journalism and information","Masters degree or equivalent","Female","Very positive"
"1877","Germany","Natural sciences, mathematics and statistics","A-level or equivalent","Female","Very positive"
"1878","Germany","Social sciences, journalism and information","A-level or equivalent","Female","Quite positive"
"1879","Germany","Social sciences, journalism and information","Bachelors degree or equivalent","Female","Quite positive"
"1880","France Metropolitan","Social sciences, journalism and information","Bachelors degree or equivalent","Male","Quite positive"
"1881","France Antilles","Business, administration and law","A-level or equivalent","Female","Quite positive"
"1882","Germany","Business, administration and law","A-level or equivalent","Male","Very positive"
"1883","Tunisia","Engineering, manufacturing and construction","Masters degree or equivalent","Male","Neutral"
"1884","Germany","Natural sciences, mathematics and statistics","Bachelors degree or equivalent","Female","Quite positive"
"1885","France Metropolitan","Health","Bachelors degree or equivalent","Female","Quite positive"
"1886","France Metropolitan","Social sciences, journalism and information","Masters degree or equivalent","Female","Neutral"
"1887","France Metropolitan","Arts and Humanities","Bachelors degree or equivalent","Female","Quite positive"
"1888","Germany","Natural sciences, mathematics and statistics","A-level or equivalent","Male","Neutral"
"1889","Germany","Arts and Humanities","Masters degree or equivalent","Female","Quite positive"
"1890","Germany","Business, administration and law","Bachelors degree or equivalent","Female","Quite positive"
"1891","Germany","Business, administration and law","A-level or equivalent","Male","Quite positive"
"1892","France Metropolitan","Engineering, manufacturing and construction","Bachelors degree or equivalent","Male","Quite positive"
"1893","France Metropolitan","Arts and Humanities","Masters degree or equivalent","Female","Neutral"
"1894","France Metropolitan","Other","Bachelors degree or equivalent","Male","Quite positive"
"1895","Tunisia","Social sciences, journalism and information","Bachelors degree or equivalent","Female","Neutral"
"1896","France Metropolitan","Other","Masters degree or equivalent","Female","Quite positive"
"1897","Germany","Other","Bachelors degree or equivalent","Male","Quite positive"
"1898","Turkey","Other","Bachelors degree or equivalent","Female","Quite positive"
"1899","France Antilles","Other","Masters degree or equivalent","Male","Quite negative"
"1900","Turkey","Business, administration and law","Bachelors degree or equivalent","Female","Quite positive"
"1901","Germany","Other","A-level or equivalent","Male","Quite positive"
"1902","France Antilles","Other","Masters degree or equivalent","Female","Neutral"
"1903","Germany","Business, administration and law","A-level or equivalent","Female","Quite positive"
"1904","France Metropolitan","Business, administration and law","Bachelors degree or equivalent","Female","Quite positive"
"1905","France Metropolitan","Social sciences, journalism and information","Bachelors degree or equivalent","Female","Quite positive"
"1906","France Metropolitan","Health","Bachelors degree or equivalent","Male","Very positive"
"1907","France Metropolitan","Other","Bachelors degree or equivalent","Other","Quite negative"
"1908","Germany","Social sciences, journalism and information","A-level or equivalent","Female","Neutral"
"1909","Germany","Engineering, manufacturing and construction","Masters degree or equivalent","Male","Quite positive"
"1910","France Metropolitan","Health","Bachelors degree or equivalent","Male","Very positive"
"1911","France Metropolitan","Arts and Humanities","Bachelors degree or equivalent","Male","Very negative"
